zOverallRank,Date,team,stat,value,zscore,rank
97,20251022,Colorado Avalanche,FOW%,53.5,0.829860396,9
98,20251022,Anaheim Ducks,Pen Taken/60,3.24,0.816034575,8
99,20251022,Ottawa Senators,PP%,26.09,0.802206096,9
100,20251022,Nashville Predators,PK%,86.96,0.799384483,9
101,20251022,Nashville Predators,Pen Drawn/60,4.57,0.792110864,9
102,20251022,New York Rangers,Net Pen/60,0.71,0.786617389,10
103,20251022,Dallas Stars,FOW%,53.3,0.783916568,10
104,20251022,Toronto Maple Leafs,Pen Taken/60,3.3,0.752084111,9
105,20251022,Chicago Blackhawks,HDC%,10.4,0.748081867,6
106,20251022,Montreal Canadiens,HDC%,10.4,0.748081867,6
107,20251022,Utah Mammoth,HDF%,54.6,0.724777415,7
108,20251022,Pittsburgh Penguins,Pen Taken/60,3.33,0.720108878,10
109,20251022,Nashville Predators,CF%,53.5,0.693133225,7
110,20251022,Vegas Golden Knights,HDC%,10.2,0.686384393,8
111,20251022,Carolina Hurricanes,HDC%,10.2,0.686384393,8
112,20251022,Colorado Avalanche,HDF%,54.3,0.681507122,8
113,20251022,Los Angeles Kings,SCF%,53,0.663829374,7
114,20251022,St. Louis Blues,SCF%,53,0.663829374,7
115,20251022,Vegas Golden Knights,Pen Taken/60,3.39,0.656158414,11
116,20251022,Vegas Golden Knights,HDF%,54.1,0.652660259,9
117,20251022,Utah Mammoth,xGA,12.1,0.644965491,11
118,20251022,Edmonton Oilers,PP%,25,0.632706771,10
119,20251022,Tampa Bay Lightning,PP%,25,0.632706771,10
120,20251022,Ottawa Senators,Pen Drawn/60,4.44,0.611454,10
121,20251022,Colorado Avalanche,Pen Drawn/60,4.44,0.611454,10
122,20251022,St. Louis Blues,HDF%,53.8,0.609389966,10
123,20251022,New Jersey Devils,xGA,12.3,0.542028355,12
124,20251022,St. Louis Blues,HDC%,9.7,0.532140709,10
125,20251022,San Jose Sharks,Pen Drawn/60,4.37,0.514177227,12
126,20251022,St. Louis Blues,CF%,52.7,0.508681972,8
127,20251022,Edmonton Oilers,Pen Taken/60,3.54,0.496282252,12
128,20251022,Vegas Golden Knights,CF%,52.6,0.485625565,9
129,20251022,Florida Panthers,HDF%,52.9,0.479579086,11
130,20251022,Utah Mammoth,SCF%,52.1,0.478574665,9
131,20251022,Florida Panthers,SCF%,52.1,0.478574665,9
132,20251022,New York Rangers,CF%,52.5,0.462569158,10
133,20251022,San Jose Sharks,PP%,23.81,0.447657049,12
134,20251022,San Jose Sharks,Net Pen/60,0.4,0.445268111,11
135,20251022,New York Islanders,Net Pen/60,0.4,0.445268111,11
136,20251022,Montreal Canadiens,xGF,14.4,0.439233341,7
137,20251022,Florida Panthers,xGF,14.4,0.439233341,7
138,20251022,Colorado Avalanche,PK%,83.33,0.434969815,10
139,20251022,Philadelphia Flyers,PK%,83.33,0.434969815,10
140,20251022,New York Islanders,Pen Taken/60,3.6,0.432331787,13
141,20251022,Detroit Red Wings,FOW%,51.7,0.416365943,11
142,20251022,Edmonton Oilers,xGF,14.3,0.397024731,9
143,20251022,Detroit Red Wings,CF%,52.2,0.393399939,11
144,20251022,Tampa Bay Lightning,HDCO%,9.1,0.383790302,10
145,20251022,Anaheim Ducks,HDC%,9.2,0.377897026,11
146,20251022,Utah Mammoth,HDC%,9.2,0.377897026,11
147,20251022,Florida Panthers,PK%,82.76,0.377747677,12
148,20251022,Los Angeles Kings,CF%,52.1,0.370343532,12
149,20251022,Chicago Blackhawks,Pen Drawn/60,4.25,0.347417046,13
150,20251022,Buffalo Sabres,xGA,12.7,0.336154084,13
