"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"119","0:18","0.1","TYLER TOFFOLI - BARCLAY GOODROW - TY DELLANDREA","0","0","0","0","0","0.0","0","1","0.0"
"120","0:17","0.1","ALEXANDER WENNBERG - NIKOLAI KOVALENKO - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"121","0:17","0.1","PHILIPP KURASHEV - COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","1","0.0","0","1","0.0"
"122","0:17","0.1","TYLER TOFFOLI - WILLIAM EKLUND - WILL SMITH","0","0","0","1","0","100.0","1","0","100.0"
"123","0:17","0.1","BARCLAY GOODROW - PHILIPP KURASHEV - MACKLIN CELEBRINI","0","0","0","0","1","0.0","0","1","0.0"
"124","0:17","0.1","RYAN REAVES - ALEXANDER WENNBERG - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"125","0:17","0.1","RYAN REAVES - BARCLAY GOODROW - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"126","0:16","0.1","WILL SMITH - COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","0","0.0","1","0","100.0"
"127","0:16","0.1","ALEXANDER WENNBERG - WILLIAM EKLUND - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"128","0:16","0.1","WILLIAM EKLUND - CAM LUND - MACKLIN CELEBRINI","0","0","0","1","0","100.0","1","0","100.0"
"129","0:16","0.1","CARL GRUNDSTROM - TY DELLANDREA - ZACK OSTAPCHUK","0","0","0","0","0","0.0","0","1","0.0"
"130","0:15","0.0","ALEXANDER WENNBERG - PHILIPP KURASHEV - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"131","0:15","0.0","JEFF SKINNER - ADAM GAUDETTE - WILL SMITH","0","1","-1","0","2","0.0","0","2","0.0"
"132","0:15","0.0","TY DELLANDREA - NOAH GREGOR - NIKOLAI KOVALENKO","0","0","0","0","0","0.0","1","0","100.0"
"133","0:15","0.0","ALEXANDER WENNBERG - WILL SMITH - COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","1","0.0","0","1","0.0"
"134","0:15","0.0","BARCLAY GOODROW - MACKLIN CELEBRINI","0","0","0","0","1","0.0","0","2","0.0"
"135","0:15","0.0","BARCLAY GOODROW - NIKOLAI KOVALENKO - ZACK OSTAPCHUK","0","0","0","0","0","0.0","0","0","0.0"
"136","0:14","0.0","JEFF SKINNER - ALEXANDER WENNBERG - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
